DOWNLOAD_INSTANCES,RESPONSE_SIZE_IN_MB,AB_THROUGHPUT,AB_THROUGHPUT_UNIT,PUSH_1_TIME,PUSH_2_TIME,PUSH_3_TIME,PUSH_4_TIME,PUSH_5_TIME,AVG_BULK_SYNC_DURATION,AVG_AUCTION_FETCHING_DURATION,AVG_AUCTION_PERFORMING_DURATION,AVG_FETCHING_CONTAINER_METRICS_DURATION
10,1,101.73,[Kbytes/sec],0m36.437s,0m30.614s,0m36.598s,0m36.287s,0m37.181s,36.216192ms,8.329984ms,5.772108ms,11.452656ms
10,10,87.21,[Kbytes/sec],0m42.455s,0m37.908s,0m45.546s,0m48.821s,0m45.740s,30.544609ms,9.389363ms,7.34423ms,12.713557ms
10,50,86.98,[Kbytes/sec],0m50.004s,0m44.905s,0m38.783s,0m49.093s,0m44.166s,28.651761ms,9.292748ms,8.978073ms,12.665571ms
20,1,96.65,[Kbytes/sec],0m36.144s,0m36.040s,0m36.993s,1m1.614s,11m40.700s,34.958742ms,13.108812ms,7.136204ms,16.449122ms
20,10,106.37,[Kbytes/sec],0m44.660s,0m46.176s,0m55.797s,0m55.552s,0m49.966s,40.818759ms,13.970662ms,8.160409ms,17.672865ms
20,50,97.66,[Kbytes/sec],0m50.231s,0m50.348s,0m51.152s,0m44.229s,0m51.460s,30.189937ms,13.52215ms,10.156057ms,18.451482ms
40,1,91.31,[Kbytes/sec],0m36.360s,0m42.606s,0m49.429s,0m43.529s,0m50.804s,32.553984ms,20.821529ms,12.995481ms,30.065874ms
40,10,90.68,[Kbytes/sec],0m50.190s,1m8.552s,1m1.642s,1m0.512s,8m35.169s,38.877849ms,19.4408ms,9.386336ms,26.12726ms
40,50,94.25,[Kbytes/sec],1m2.514s,0m55.717s,1m10.796s,1m12.267s,0m48.960s,36.29271ms,21.715302ms,12.23342ms,33.11594ms
80,1,92.04,[Kbytes/sec],0m54.546s,0m56.298s,0m58.202s,1m7.273s,0m54.496s,0,0,0,0
80,10,88.00,[Kbytes/sec],1m17.658s,0m59.742s,1m13.013s,1m4.164s,1m5.955s,53.970827ms,33.578188ms,18.299289ms,47.083182ms
80,50,88.63,[Kbytes/sec],1m50.631s,1m24.315s,1m27.729s,1m17.559s,1m5.148s,46.000384ms,34.247493ms,18.967226ms,47.624437ms
100,1,85.45,[Kbytes/sec],0m50.982s,0m55.325s,0m51.771s,0m52.097s,1m12.695s,49.26382ms,51.151462ms,21.16439ms,56.285291ms
100,10,86.13,[Kbytes/sec],1m26.321s,2m50.703s,1m33.216s,1m29.968s,1m14.306s,46.548091ms,43.499852ms,24.273408ms,62.552347ms
100,50,85.09,[Kbytes/sec],1m18.775s,2m4.095s,1m20.086s,1m35.916s,1m24.052s,47.613341ms,43.641625ms,26.597785ms,66.680694ms
